rank	gene	score	hit	disease_area	druggability	mr_z
126	IL3	3.2053		immune	0.35	5.5
127	SDCCAG3	3.2053		immune	0.35	5.5
128	ZSCAN23	3.1844		psychiatric	0.35	4.94
129	GBA	3.1786		neurological	0.35	4.66
130	MIER1	3.0859		immune	0.35	5.25
131	INSL5	3.0597		immune	0.35	5.25
132	TCTEX1D1	3.0597		immune	0.35	5.25
133	WDR78	3.0597		immune	0.35	5.25
134	CDKN2A/B	2.9695		cardiovascular	0.35	4.63
135	MAPT-AS1	2.9442		neurological	0.35	3.89
136	MIR4693	2.8708		cardiovascular	0.35	4.66
137	PFKFB4	2.8468		immune	0.35	5.17
138	CCNT2	2.7012		neurological	0.35	2.43
139	TMEM163	2.6756		neurological	0.35	2.77
140	LRRC37A3	2.5916		neurological	0.35	3.3
141	ZNF323	2.4447		psychiatric	0.35	3.71
142	TRIM27	2.4314		psychiatric	0.35	4.0
143	SLC41A1	2.2916		neurological	0.35	2.53
144	SLC2A13	2.2255		neurological	0.35	2.77
145	ZSCAN31	2.0483		psychiatric	0.35	4.19
146	OR12D3	1.9937		psychiatric	0.35	4.14
147	ZNF311	1.9073		psychiatric	0.35	4.0
148	PGBD1	1.9073		psychiatric	0.35	4.0
149	ZSCAN26	1.9073		psychiatric	0.35	4.0
150	OR14J1	1.9073		psychiatric	0.35	4.0
151	OR2J2	1.9073		psychiatric	0.35	4.0
152	OR5V1	1.9073		psychiatric	0.35	4.0
153	INPP5F	1.8641		neurological	0.35	3.05
154	HCG14	1.8262		psychiatric	0.35	3.87
155	LINC01556	1.8262		psychiatric	0.35	3.87
156	LOC100129636	1.8262		psychiatric	0.35	3.87
157	OR2B3	1.8262		psychiatric	0.35	3.87
158	OR2J3	1.8262		psychiatric	0.35	3.87
159	OR2W1	1.8262		psychiatric	0.35	3.87
160	MAS1L	1.8262		psychiatric	0.35	3.87
161	OR10C1	1.8262		psychiatric	0.35	3.87
162	LINC01623	1.7452		psychiatric	0.35	3.74
163	OR11A1	1.7452		psychiatric	0.35	3.74
164	GPX5	1.6587		psychiatric	0.35	3.6
165	GPX6	1.6587		psychiatric	0.35	3.6
166	ZBED9	1.6587		psychiatric	0.35	3.6
167	ZSCAN12	1.6587		psychiatric	0.35	3.6
168	HLA-DRB5	1.5732		neurological	0.35	3.12
169	OR2G1P	1.503		psychiatric	0.35	3.04
